time,pdcl,pdtl
7.3909759521484375e-06,0.0,5.285
0.0242159366607666,2.908882086657216,5.285
0.04854297637939453,4.903544088936454,5.285
0.07288384437561035,6.067096923599321,5.285
0.09716606140136719,3.989324004558465,5.285
0.12143492698669434,3.2413257537037476,5.285
0.14610910415649414,3.823102171035193,5.285
0.17115139961242676,3.823102171035205,5.285
0.19629454612731934,5.485320506267888,5.285
0.22111225128173828,4.57110042188991,5.285
0.2465531826019287,3.407547587227019,5.285
0.27139878273010254,5.069765922459714,5.285
0.29627203941345215,6.7319842576924085,5.285
0.32100820541381836,3.158214836942117,5.285
0.3458280563354492,3.324436670465389,5.285
0.3704209327697754,2.74266025313395,5.285
0.3947794437408447,3.4906585039886546,5.285
0.41908812522888184,3.5737694207502972,5.285
0.44344472885131836,4.321767671605008,5.285
0.467754602432251,3.906213087796835,5.285
0.4920525550842285,6.565762424169149,5.285
0.5164344310760498,5.983986006837699,5.285
0.5407507419586182,5.069765922459717,5.285
0.5650367736816406,4.487989505128277,5.285
0.5894081592559814,4.238656754843372,5.285
0.613715648651123,2.4102165860874076,5.285
0.6380548477172852,4.820433172174824,5.285
0.662325382232666,5.651542339791124,5.285
0.6866433620452881,6.898206091215693,5.285
0.7108941078186035,6.1502078403609515,5.285
0.7360568046569824,5.152876839221344,5.285
0.7608237266540527,4.57110042188991,5.285
0.7856235504150391,4.321767671604996,5.285
0.8103835582733154,1.9946620022792618,5.285
0.8351774215698242,3.6568803375119563,5.285
0.8599627017974854,5.402209589506258,5.285
0.8846845626831055,6.067096923599345,5.285
0.9093236923217773,5.319098672744604,5.285
0.93414306640625,4.90354408893643,5.285
0.9586660861968994,5.485320506267864,5.285
0.9829883575439453,5.402209589506282,5.285
1.0072500705718994,5.319098672744627,5.285
1.0315730571746826,5.5684314230295415,5.285
1.0559401512145996,5.485320506267888,5.285
1.080291748046875,5.319098672744627,5.285
1.1046030521392822,5.5684314230295415,5.285
1.1289563179016113,6.815095174454038,5.285
1.1532535552978516,5.402209589506258,5.285
1.1775803565979004,4.57110042188991,5.285
1.201894998550415,5.077321460347145,5.285
1.227611780166626,5.870652938526386,5.285
1.2538042068481445,5.077321460347145,5.285
1.2800021171569824,5.791319790708467,5.285
1.3061890602111816,6.108652381980167,5.285
1.3328957557678223,6.267318677616006,5.285
1.360208511352539,4.2046568343499855,5.285
1.387883186340332,4.918655164711283,5.285
1.414959192276001,4.1555458380817365,5.285
1.4401953220367432,4.57110042188991,5.285
1.4653358459472656,5.069765922459726,5.285
1.490476369857788,5.069765922459714,5.285
1.5155375003814697,5.319098672744627,5.285
1.5405728816986084,5.568431423029529,5.285
1.566042184829712,5.900875090076072,5.285
1.5907132625579834,5.734653256552801,5.285
1.6151783466339111,4.571100421889904,5.285
1.6396961212158203,4.654211338651546,5.285
1.6653451919555664,4.57110042188991,5.285
1.6905553340911865,5.0697659224597205,5.285
1.7149784564971924,4.487989505128274,5.285
1.7395551204681396,5.983986006837703,5.285
1.7639203071594238,6.150207840360969,5.285
1.7882516384124756,5.235987755982989,5.285
1.8126740455627441,5.319098672744622,5.285
1.836988925933838,5.900875090076037,5.285
1.8612921237945557,5.983986006837738,5.285
1.886176347732544,5.5684314230295175,5.285
1.9104835987091064,6.1502078403609515,5.285
1.9348998069763184,5.235987755982998,5.285
1.9601333141326904,4.680655721257547,5.285
1.9863255023956299,5.152876839221391,5.285
2.01279616355896,5.5684314230295175,5.285
2.039201021194458,4.487989505128256,5.285
2.06534481048584,5.817764173314432,5.285
2.0912647247314453,5.817764173314432,5.285
2.1174113750457764,5.069765922459738,5.285
2.143641948699951,4.1555458380817365,5.285
2.1692285537719727,5.069765922459738,5.285
2.1945297718048096,4.8204331721748,5.285
2.2198472023010254,6.399540590645865,5.285
2.245204448699951,7.563093425308756,5.285
2.2704761028289795,5.235987755982974,5.285
2.295804738998413,3.0751039201804993,5.285
2.321169376373291,4.73732225541317,5.285
2.3465635776519775,4.072434921320107,5.285
2.3718645572662354,1.5791074184710645,5.285
2.3972201347351074,2.659549336372302,5.285
2.4224133491516113,7.313760675023842,5.285
2.4477932453155518,7.64620434207041,5.285
2.4731533527374268,5.485320506267888,5.285
